order_date,revenue,product_category,platform,orders,avg_order_value,returns
2022-01-01,48973.7,Electronics,Website,1514,32.35,76
2022-01-31,57207.53,Sports,Marketplace,1123,50.94,48
2022-03-02,56238.53,Sports,Mobile App,1883,29.87,20
2022-04-01,77329.84,Fashion,Mobile App,1012,76.41,80
2022-05-01,52339.89,Sports,Website,1019,51.36,67
2022-05-31,58487.49,Home & Kitchen,Website,1231,47.51,65
2022-06-30,73499.9,Books,Mobile App,1340,54.85,52
2022-07-30,106941.26,Books,Mobile App,904,118.3,25
2022-08-29,69854.49,Fashion,Marketplace,1483,47.1,69
2022-09-28,87784.85,Books,Marketplace,1130,77.69,67
2022-10-28,142927.25,Electronics,Website,1948,73.37,20
2022-11-27,161079.96,Electronics,Mobile App,1105,145.77,54
2022-12-27,139444.84,Fashion,Website,1103,126.42,47
2023-01-26,68352.17,Home & Kitchen,Website,881,77.58,77
2023-02-25,83791.36,Sports,Mobile App,1010,82.96,42
2023-03-27,96479.64,Fashion,Website,1116,86.45,79
2023-04-26,98057.76,Books,Website,1162,84.39,76
2023-05-26,67510.3,Books,Marketplace,1480,45.62,70
2023-06-25,96453.81,Fashion,Marketplace,1308,73.74,37
2023-07-25,86547.71,Books,Website,879,98.46,74
2023-08-24,92796.68,Home & Kitchen,Website,1742,53.27,42
2023-09-23,73396.54,Home & Kitchen,Mobile App,1195,61.42,45
2023-10-23,183852.08,Sports,Mobile App,1371,134.1,42
2023-11-22,171833.21,Electronics,Website,1898,90.53,41
2023-12-22,189972.91,Sports,Mobile App,1334,142.41,31
2024-01-21,69221.57,Home & Kitchen,Mobile App,1689,40.98,42
2024-02-20,96043.12,Books,Marketplace,1847,52.0,27
2024-03-21,78081.64,Books,Website,890,87.73,65
2024-04-20,94532.27,Fashion,Mobile App,1902,49.7,63
2024-05-20,91543.5,Home & Kitchen,Marketplace,1476,62.02,59
2024-06-19,112704.73,Home & Kitchen,Marketplace,1415,79.65,52
2024-07-19,120572.26,Home & Kitchen,Marketplace,1624,74.24,64
2024-08-18,104081.33,Books,Marketplace,1661,62.66,62
2024-09-17,111957.1,Sports,Mobile App,1156,96.85,59
2024-10-17,172919.14,Home & Kitchen,Website,800,216.15,39
2024-11-16,177163.73,Home & Kitchen,Mobile App,1987,89.16,58
