date,total_sales,food_type,branch,customers,avg_bill,rating
01-01-2022,136344.48,Fast Food,Branch C,2583,52.79,3.8
31-01-2022,121631.22,Continental,Branch B,1373,88.59,3.9
02-03-2022,90986.47,Italian,Branch A,2738,33.23,3.9
01-04-2022,124934.19,Chinese,Branch B,1501,83.23,3.5
01-05-2022,99456.48,Fast Food,Branch C,2773,35.87,3.6
31-05-2022,98982.88,Fast Food,Branch B,2671,37.06,4.5
30-06-2022,86477.35,Indian,Branch B,2543,34.01,4.5
30-07-2022,101487.2,Indian,Branch C,2625,38.66,4.3
29-08-2022,103911.04,Fast Food,Branch C,1448,71.76,4.2
28-09-2022,118702.02,Fast Food,Branch C,2344,50.64,4.4
28-10-2022,133842.82,Continental,Branch B,2233,59.94,4.1
27-11-2022,180915.21,Fast Food,Branch B,2723,66.44,4.8
27-12-2022,173016.42,Continental,Branch B,2505,69.07,3.9
26-01-2023,166296.21,Italian,Branch A,1762,94.38,4.2
25-02-2023,110838.98,Indian,Branch A,1854,59.78,4.8
27-03-2023,105555.49,Chinese,Branch A,1984,53.2,4.5
26-04-2023,120256.1,Fast Food,Branch A,1877,64.07,4.3
26-05-2023,93788.86,Continental,Branch C,2060,45.53,4.1
25-06-2023,86136.57,Fast Food,Branch A,2767,31.13,4.4
25-07-2023,151633.82,Fast Food,Branch C,1811,83.73,4.6
24-08-2023,142365.85,Chinese,Branch B,2318,61.42,4.7
23-09-2023,114797.51,Fast Food,Branch B,2092,54.87,4.2
23-10-2023,140421.16,Fast Food,Branch A,2028,69.24,4.6
22-11-2023,206482.85,Fast Food,Branch C,2293,90.05,3.5
22-12-2023,177960.99,Fast Food,Branch A,1255,141.8,3.6
21-01-2024,201513.51,Fast Food,Branch B,1572,128.19,3.6
20-02-2024,119101.14,Fast Food,Branch B,1869,63.72,4
21-03-2024,150927.36,Indian,Branch B,2063,73.16,3.9
20-04-2024,109916.48,Italian,Branch A,2304,47.71,3.6
20-05-2024,125282.23,Indian,Branch A,2799,44.76,4.9
19-06-2024,141144.44,Continental,Branch A,1608,87.78,4.8
19-07-2024,125412.22,Continental,Branch A,2169,57.82,4.5
18-08-2024,139823.02,Chinese,Branch C,1724,81.1,4.7
17-09-2024,149393.76,Chinese,Branch B,2731,54.7,4.6
17-10-2024,120418.35,Continental,Branch C,1252,96.18,4.9
16-11-2024,220886.37,Chinese,Branch A,1968,112.24,4.1
