date,sales,category,region,quantity,discount,profit
2021-01-01,23115.41,Furniture,East,126,0.2,3679.57
2021-01-31,23764.8,Furniture,East,259,0.07,4456.08
2021-03-02,24409.89,Technology,South,249,0.17,5121.18
2021-04-01,24783.46,Furniture,South,270,0.11,6421.1
2021-05-01,21965.32,Furniture,East,159,0.09,5319.1
2021-05-31,22617.37,Furniture,South,211,0.22,4898.84
2021-06-30,24295.91,Technology,Central,216,0.07,4055.19
2021-07-30,24993.79,Office Supplies,East,137,0.06,3910.62
2021-08-29,27823.65,Office Supplies,West,145,0.13,5357.32
2021-09-28,23791.24,Technology,East,173,0.18,5526.5
2021-10-28,26304.01,Office Supplies,South,163,0.16,4186.8
2021-11-27,32880.28,Furniture,West,262,0.09,5651.63
2021-12-27,40596.94,Technology,Central,200,0.13,5301.56
2022-01-26,23542.71,Office Supplies,West,247,0.13,6270.07
2022-02-25,24344.04,Technology,South,183,0.2,5020.63
2022-03-27,37018.4,Furniture,South,222,0.12,10349.31
2022-04-26,27866.19,Furniture,South,132,0.22,4025.4
2022-05-26,28577.95,Technology,Central,218,0.13,7984.09
2022-06-25,32726.16,Technology,Central,122,0.19,4526.95
2022-07-25,31031.19,Office Supplies,East,207,0.07,5882.35
2022-08-24,33319.69,Technology,East,187,0.24,8060.5
2022-09-23,32827.86,Furniture,West,196,0.22,6605.82
2022-10-23,27918.44,Technology,East,161,0.16,6828.3
2022-11-22,42916.5,Office Supplies,West,245,0.05,11529.77
2022-12-22,35154.32,Office Supplies,East,265,0.24,4700.29
2023-01-21,35507.83,Office Supplies,West,256,0.2,4990.36
2023-02-20,27967.43,Technology,West,275,0.13,4303.84
2023-03-22,39964.26,Office Supplies,South,222,0.25,8951.21
2023-04-21,32321.53,Technology,West,177,0.06,3987.36
2023-05-21,32585.29,Furniture,East,121,0.06,7200.58
2023-06-20,36602.87,Technology,South,204,0.06,5786.21
2023-07-20,28880.86,Technology,South,153,0.19,7543.14
2023-08-19,29517.09,Furniture,South,241,0.21,4441.31
2023-09-18,31147.4,Technology,East,225,0.14,7371.1
2023-10-18,27912.2,Furniture,West,206,0.21,3837.45
2023-11-17,47589.76,Furniture,East,155,0.13,7831.71
2023-12-17,46451.12,Technology,East,260,0.07,10420.99
2024-01-16,40044.31,Furniture,South,180,0.08,7916.86
2024-02-15,39594.68,Office Supplies,South,162,0.13,10993.44
2024-03-16,38576.35,Furniture,Central,262,0.18,7633.0
2024-04-15,37903.89,Technology,Central,134,0.17,7836.68
2024-05-15,29808.58,Technology,West,269,0.15,7961.93
2024-06-14,30081.71,Technology,East,250,0.07,4504.19
2024-07-14,38495.8,Technology,West,180,0.13,10419.1
2024-08-13,37568.05,Technology,Central,130,0.17,7028.08
2024-09-12,42675.06,Office Supplies,South,172,0.18,7266.26
2024-10-12,32189.47,Furniture,East,196,0.14,8647.47
2024-11-11,51717.42,Furniture,Central,264,0.25,6812.31
